State,Year,Undergrad,Graduate,Professional,Total
Rhode Island,1978,3,5,0,8
Rhode Island,1979,5,6,0,11
Rhode Island,1980,6,8,0,14
Rhode Island,1981,2,4,0,6
Rhode Island,1982,0,3,0,3
Rhode Island,1983,1,,0,1
Rhode Island,1984,3,4,0,7
Rhode Island,1985,3,5,0,8
Rhode Island,1986,2,2,0,4
Rhode Island,1987,1,3,0,4
Rhode Island,1988,0,4,0,4
Rhode Island,1989,2,2,0,4
Rhode Island,1990,3,5,0,8
Rhode Island,1991,6,5,1,12
Rhode Island,1992,4,2,1,7
Rhode Island,1993,3,1,1,5
Rhode Island,1994,4,3,1,8
Rhode Island,1995,3,3,1,7
Rhode Island,1996,6,5,2,13
Rhode Island,1997,6,7,1,14
Rhode Island,1998,6,1,8,15
Rhode Island,1999,7,2,9,18
Rhode Island,2000,7,2,9,18
Rhode Island,2001,4,3,3,10
Rhode Island,2002,5,3,4,12
Rhode Island,2003,4,1,6,11
Rhode Island,2004,3,0,1,4
Rhode Island,2005,2,0,2,4
Rhode Island,2006,2,0,1,3
Rhode Island,2007,4,0,1,5
Rhode Island,2008,3,1,6,10
Rhode Island,2009,4,1,9,14
Rhode Island,2010,4,1,9,14
Rhode Island,2011,4,0,11,15
Rhode Island,2012,2,0,9,11
Rhode Island,2013,2,0,8,10
Rhode Island,2014,3,0,7,10
Rhode Island,2015,2,0,5,7
Rhode Island,2016,2,0,5,7
Rhode Island,2017,6,0,6,12
South Carolina,1975,3,18,1,22
South Carolina,1976,2,13,0,15
South Carolina,1977,2,8,1,11
South Carolina,1978,4,6,0,10
South Carolina,1979,1,12,0,13
South Carolina,1980,1,11,0,12
South Carolina,1981,0,13,0,13
South Carolina,1982,1,8,0,9
South Carolina,1983,1,5,0,6
South Carolina,1984,0,6,0,6
South Carolina,1985,5,9,0,14
South Carolina,1986,3,14,0,17
South Carolina,1987,3,10,1,14
South Carolina,1988,5,6,1,12
South Carolina,1989,7,10,2,19
South Carolina,1990,8,14,0,22
South Carolina,1991,5,12,0,17
South Carolina,1992,12,7,0,19
South Carolina,1993,9,11,0,20
South Carolina,1994,9,11,0,20
South Carolina,1995,7,1,0,8
South Carolina,1996,15,15,0,30
South Carolina,1997,17,16,2,35
South Carolina,1998,12,2,15,29
South Carolina,1999,12,3,12,27
South Carolina,2000,7,2,14,23
South Carolina,2001,9,2,10,21
South Carolina,2002,9,1,10,20
South Carolina,2003,10,1,12,23
South Carolina,2004,10,0,3,13
South Carolina,2005,10,0,14,24
South Carolina,2006,7,0,13,20
South Carolina,2007,9,1,17,27
South Carolina,2008,12,1,15,28
South Carolina,2009,7,2,8,17
South Carolina,2010,7,2,8,17
South Carolina,2011,3,2,13,18
South Carolina,2012,5,1,10,16
South Carolina,2013,8,2,14,24
South Carolina,2014,8,1,16,25
South Carolina,2015,5,4,16,25
South Carolina,2016,5,2,15,22
South Carolina,2017,7,2,17,26
South Dakota,1975,1,3,0,4
South Dakota,1976,1,2,0,3
South Dakota,1977,0,5,0,5
South Dakota,1978,0,3,0,3
South Dakota,1979,2,4,1,7
South Dakota,1980,1,11,1,13
South Dakota,1981,0,5,1,6
South Dakota,1982,0,8,1,9
South Dakota,1983,2,7,0,9
South Dakota,1984,1,10,0,11
South Dakota,1985,1,7,0,8
South Dakota,1986,1,5,0,6
South Dakota,1987,2,5,0,7
South Dakota,1988,1,4,0,5
South Dakota,1989,1,5,0,6
South Dakota,1990,3,2,1,6
South Dakota,1991,1,2,0,3
South Dakota,1992,0,3,0,3
South Dakota,1993,0,5,0,5
South Dakota,1994,0,6,0,6
South Dakota,1995,1,6,0,7
South Dakota,1996,2,6,0,8
South Dakota,1997,5,7,1,13
South Dakota,1998,5,2,6,13
South Dakota,1999,6,2,6,14
South Dakota,2000,5,2,4,11
South Dakota,2001,5,1,5,11
South Dakota,2002,4,0,4,8
South Dakota,2003,5,0,3,8
South Dakota,2004,5,0,0,5
South Dakota,2005,4,0,2,6
South Dakota,2006,3,0,3,6
South Dakota,2007,1,0,6,7
South Dakota,2008,1,0,4,5
South Dakota,2009,1,1,2,4
South Dakota,2010,1,1,2,4
South Dakota,2011,5,2,3,10
South Dakota,2012,5,1,6,12
South Dakota,2013,5,1,7,13
South Dakota,2014,6,0,7,13
South Dakota,2015,3,0,8,11
South Dakota,2016,2,0,4,6
South Dakota,2017,3,1,4,8
Tennessee,1975,8,33,1,42
Tennessee,1976,4,23,1,28
Tennessee,1977,9,22,0,31
Tennessee,1978,10,21,0,31
Tennessee,1979,16,21,0,37
Tennessee,1980,21,23,0,44
Tennessee,1981,17,23,1,41
Tennessee,1982,13,17,0,30
Tennessee,1983,13,18,0,31
Tennessee,1984,18,20,0,38
Tennessee,1985,16,20,0,36
Tennessee,1986,22,27,1,50
Tennessee,1987,24,30,0,54
Tennessee,1988,26,35,0,61
Tennessee,1989,36,27,1,64
Tennessee,1990,39,28,2,69
Tennessee,1991,43,25,2,70
Tennessee,1992,38,19,1,58
Tennessee,1993,33,25,2,60
Tennessee,1994,37,19,1,57
Tennessee,1995,44,31,1,76
Tennessee,1996,51,40,1,92
Tennessee,1997,52,41,2,95
Tennessee,1998,52,1,46,99
Tennessee,1999,43,2,37,82
Tennessee,2000,35,2,37,74
Tennessee,2001,41,1,39,81
Tennessee,2002,44,1,47,92
Tennessee,2003,43,1,42,86
Tennessee,2004,41,2,9,52
Tennessee,2005,38,3,17,58
Tennessee,2006,28,3,21,52
Tennessee,2007,25,3,22,50
Tennessee,2008,28,1,36,65
Tennessee,2009,25,2,29,56
Tennessee,2010,25,2,29,56
Tennessee,2011,35,2,28,65
Tennessee,2012,37,3,30,70
Tennessee,2013,39,3,27,69
Tennessee,2014,42,4,25,71
Tennessee,2015,43,4,27,74
Tennessee,2016,46,2,36,84
Tennessee,2017,45,4,53,102
Texas,1975,11,42,1,54
Texas,1976,11,37,0,48
Texas,1977,9,45,1,55
Texas,1978,11,46,1,58
Texas,1979,15,36,0,51
Texas,1980,16,40,1,57
Texas,1981,13,47,1,61
Texas,1982,12,52,1,65
Texas,1983,10,47,1,58
Texas,1984,10,33,0,43
Texas,1985,12,31,0,43
Texas,1986,12,31,0,43
Texas,1987,22,36,0,58
Texas,1988,27,37,0,64
Texas,1989,33,38,0,71
Texas,1990,44,45,0,89
Texas,1991,49,47,0,96
Texas,1992,44,55,0,99
Texas,1993,48,54,2,104
Texas,1994,37,56,2,95
Texas,1995,44,63,2,109
Texas,1996,45,92,5,142
Texas,1997,44,100,7,151
Texas,1998,53,5,100,158
Texas,1999,57,7,87,151
Texas,2000,47,6,98,151
Texas,2001,55,6,103,164
Texas,2002,72,4,126,202
Texas,2003,85,5,136,226
Texas,2004,93,7,41,141
Texas,2005,87,12,48,147
Texas,2006,85,13,71,169
Texas,2007,92,10,70,172
Texas,2008,102,14,66,182
Texas,2009,87,25,76,188
Texas,2010,87,25,76,188
Texas,2011,100,25,89,214
Texas,2012,109,19,89,217
Texas,2013,121,17,84,222
Texas,2014,119,17,85,221
Texas,2015,148,13,81,242
Texas,2016,164,16,92,272
Texas,2017,162,18,188,368
Unknown,2004,473,82,1851,2406
Unknown,2005,508,141,1804,2453
Unknown,2006,498,132,1659,2289
Unknown,2007,486,113,1581,2180
Unknown,2008,568,103,1546,2217
Unknown,2009,612,79,1432,2123
Unknown,2010,612,79,1432,2123
Unknown,2011,624,84,1325,2033
Unknown,2012,606,72,1269,1947
Unknown,2013,574,52,1253,1879
Unknown,2014,596,52,1214,1862
Unknown,2015,548,48,1177,1773
Unknown,2016,525,65,1146,1736
Unknown,2017,282,59,1435,1776
Utah,1975,0,5,0,5
Utah,1976,0,9,0,9
Utah,1977,0,8,0,8
Utah,1978,0,10,0,10
Utah,1979,2,11,0,13
Utah,1980,0,11,0,11
Utah,1981,0,13,0,13
Utah,1982,0,7,1,8
Utah,1983,0,9,0,9
Utah,1984,0,12,0,12
Utah,1985,1,9,0,10
Utah,1986,1,5,0,6
Utah,1987,0,8,0,8
Utah,1988,0,3,0,3
Utah,1989,1,9,0,10
Utah,1990,1,5,0,6
Utah,1991,1,4,1,6
Utah,1992,2,6,1,9
Utah,1993,1,2,1,4
Utah,1994,1,2,1,4
Utah,1995,2,11,1,14
Utah,1996,5,19,0,24
Utah,1997,6,26,2,34
Utah,1998,3,3,39,45
Utah,1999,6,3,41,50
Utah,2000,4,2,45,51
Utah,2001,8,3,43,54
Utah,2002,7,2,44,53
Utah,2003,6,4,52,62
Utah,2004,11,3,13,27
Utah,2005,7,2,17,26
Utah,2006,4,2,20,26
Utah,2007,4,1,21,26
Utah,2008,4,5,19,28
Utah,2009,2,5,11,18
Utah,2010,2,5,11,18
Utah,2011,4,1,10,15
Utah,2012,4,0,16,20
Utah,2013,3,0,19,22
Utah,2014,6,0,16,22
Utah,2015,8,0,15,23
Utah,2016,7,0,14,21
Utah,2017,7,0,21,28
Vermont,1975,0,1,0,1
Vermont,1976,0,4,0,4
Vermont,1977,1,8,0,9
Vermont,1978,8,8,0,16
Vermont,1979,4,4,0,8
Vermont,1980,0,4,0,4
Vermont,1981,0,3,0,3
Vermont,1982,0,3,0,3
Vermont,1983,0,8,0,8
Vermont,1984,0,4,0,4
Vermont,1985,0,5,0,5
Vermont,1986,2,6,0,8
Vermont,1987,1,4,1,6
Vermont,1988,2,1,1,4
Vermont,1989,3,1,1,5
Vermont,1990,2,2,0,4
Vermont,1991,3,3,0,6
Vermont,1992,2,2,0,4
Vermont,1993,0,4,0,4
Vermont,1994,1,6,0,7
Vermont,1995,1,8,0,9
Vermont,1996,5,9,0,14
Vermont,1997,4,6,0,10
Vermont,1998,3,0,5,8
Vermont,1999,4,0,8,12
Vermont,2000,2,0,6,8
Vermont,2001,1,0,6,7
Vermont,2002,1,0,5,6
Vermont,2003,2,0,7,9
Vermont,2004,3,0,2,5
Vermont,2005,6,0,1,7
Vermont,2006,8,2,1,11
Vermont,2007,7,1,0,8
Vermont,2008,6,2,1,9
Vermont,2009,1,1,0,2
Vermont,2010,1,1,0,2
Vermont,2011,2,0,2,4
Vermont,2012,1,1,2,4
Vermont,2013,1,0,3,4
Vermont,2014,1,0,4,5
Vermont,2015,3,0,4,7
Vermont,2016,2,0,3,5
Vermont,2017,1,0,6,7
Virgin Islands,2017,0,0,1,1
Virginia,1975,15,41,0,56
Virginia,1976,15,39,0,54
Virginia,1977,20,32,0,52
Virginia,1978,33,33,0,66
Virginia,1979,28,28,0,56
Virginia,1980,16,36,0,52
Virginia,1981,12,34,0,46
Virginia,1982,14,33,1,48
Virginia,1983,13,27,2,42
Virginia,1984,18,39,1,58
Virginia,1985,17,36,1,54
Virginia,1986,16,42,0,58
Virginia,1987,21,32,0,53
Virginia,1988,24,30,0,54
Virginia,1989,24,27,0,51
Virginia,1990,42,25,0,67
Virginia,1991,36,34,1,71
Virginia,1992,44,31,4,79
Virginia,1993,42,41,1,84
Virginia,1994,48,41,2,91
Virginia,1995,75,58,2,135
Virginia,1996,82,63,5,150
Virginia,1997,90,60,4,154
Virginia,1998,101,7,56,164
Virginia,1999,89,2,60,151
Virginia,2000,91,4,69,164
Virginia,2001,86,8,73,167
Virginia,2002,77,8,74,159
Virginia,2003,74,9,78,161
Virginia,2004,58,2,33,93
Virginia,2005,74,0,33,107
Virginia,2006,69,1,24,94
Virginia,2007,68,4,29,101
Virginia,2008,67,4,36,107
Virginia,2009,56,2,36,94
Virginia,2010,56,2,36,94
Virginia,2011,61,5,40,106
Virginia,2012,81,5,48,134
Virginia,2013,112,4,43,159
Virginia,2014,123,3,39,165
Virginia,2015,128,4,42,174
Virginia,2016,133,8,41,182
Virginia,2017,133,7,77,217
Washington,1975,3,24,0,27
Washington,1976,5,14,0,19
Washington,1977,3,24,0,27
Washington,1978,28,28,0,56
Washington,1979,18,18,0,36
Washington,1980,3,20,1,24
Washington,1981,0,19,1,20
Washington,1982,1,17,1,19
Washington,1983,4,13,0,17
Washington,1984,3,22,0,25
Washington,1985,1,21,0,22
Washington,1986,3,30,1,34
Washington,1987,3,19,1,23
Washington,1988,10,22,1,33
Washington,1989,6,20,1,27
Washington,1990,9,17,0,26
Washington,1991,9,14,1,24
Washington,1992,9,20,0,29
Washington,1993,8,15,0,23
Washington,1994,11,12,0,23
Washington,1995,14,25,0,39
Washington,1996,14,32,3,49
Washington,1997,7,40,5,52
Washington,1998,8,4,36,48
Washington,1999,11,4,33,48
Washington,2000,13,3,39,55
Washington,2001,23,2,48,73
Washington,2002,22,1,54,77
Washington,2003,29,2,54,85
Washington,2004,32,1,10,43
Washington,2005,25,1,19,45
Washington,2006,32,1,25,58
Washington,2007,29,4,33,66
Washington,2008,23,6,30,59
Washington,2009,22,4,33,59
Washington,2010,22,4,33,59
Washington,2011,26,7,31,64
Washington,2012,31,8,40,79
Washington,2013,43,8,34,85
Washington,2014,63,5,35,103
Washington,2015,61,5,34,100
Washington,2016,67,4,38,109
Washington,2017,60,2,82,144
West Virginia,1975,2,10,0,12
West Virginia,1976,3,5,0,8
West Virginia,1977,3,4,0,7
West Virginia,1978,1,1,0,2
West Virginia,1979,5,5,0,10
West Virginia,1980,2,6,0,8
West Virginia,1981,1,8,0,9
West Virginia,1982,2,7,0,9
West Virginia,1983,0,7,0,7
West Virginia,1984,2,3,0,5
West Virginia,1985,3,4,0,7
West Virginia,1986,3,5,0,8
West Virginia,1987,4,4,0,8
West Virginia,1988,3,1,0,4
West Virginia,1989,8,2,0,10
West Virginia,1990,8,3,0,11
West Virginia,1991,6,3,0,9
West Virginia,1992,6,7,0,13
West Virginia,1993,3,5,0,8
West Virginia,1994,3,3,0,6
West Virginia,1995,5,6,0,11
West Virginia,1996,9,14,0,23
West Virginia,1997,9,11,0,20
West Virginia,1998,7,0,9,16
West Virginia,1999,7,0,7,14
West Virginia,2000,5,1,8,14
West Virginia,2001,5,1,9,15
West Virginia,2002,6,1,9,16
West Virginia,2003,5,0,9,14
West Virginia,2004,6,0,3,9
West Virginia,2005,5,1,5,11
West Virginia,2006,5,0,3,8
West Virginia,2007,5,0,5,10
West Virginia,2008,5,0,5,10
West Virginia,2009,4,1,5,10
West Virginia,2010,4,1,5,10
West Virginia,2011,4,1,7,12
West Virginia,2012,7,0,8,15
West Virginia,2013,5,0,6,11
West Virginia,2014,4,0,6,10
West Virginia,2015,4,0,5,9
West Virginia,2016,0,3,8,11
West Virginia,2017,1,3,12,16
Wisconsin,1975,30,73,3,106
Wisconsin,1976,30,64,2,96
Wisconsin,1977,29,64,1,94
Wisconsin,1978,56,56,5,117
Wisconsin,1979,51,51,6,108
Wisconsin,1980,39,63,4,106
Wisconsin,1981,43,52,3,98
Wisconsin,1982,36,76,3,115
Wisconsin,1983,33,73,2,108
Wisconsin,1984,38,78,0,116
Wisconsin,1985,43,66,0,109
Wisconsin,1986,47,47,0,94
Wisconsin,1987,40,51,0,91
Wisconsin,1988,35,32,2,69
Wisconsin,1989,44,40,0,84
Wisconsin,1990,45,50,1,96
Wisconsin,1991,53,53,1,107
Wisconsin,1992,66,54,2,122
Wisconsin,1993,58,55,3,116
Wisconsin,1994,66,56,5,127
Wisconsin,1995,74,75,5,154
Wisconsin,1996,84,79,6,169
Wisconsin,1997,73,81,5,159
Wisconsin,1998,72,5,84,161
Wisconsin,1999,70,5,91,166
Wisconsin,2000,63,10,80,153
Wisconsin,2001,63,13,83,159
Wisconsin,2002,66,9,93,168
Wisconsin,2003,59,7,97,163
Wisconsin,2004,54,4,34,92
Wisconsin,2005,54,3,41,98
Wisconsin,2006,61,3,49,113
Wisconsin,2007,56,4,47,107
Wisconsin,2008,48,4,51,103
Wisconsin,2009,50,7,77,134
Wisconsin,2010,50,7,77,134
Wisconsin,2011,67,13,75,155
Wisconsin,2012,69,13,77,159
Wisconsin,2013,60,16,68,144
Wisconsin,2014,65,15,71,151
Wisconsin,2015,61,14,64,139
Wisconsin,2016,60,14,65,139
Wisconsin,2017,66,17,87,170
Wyoming,1975,0,1,0,1
Wyoming,1976,1,0,0,1
Wyoming,1977,1,4,0,5
Wyoming,1978,5,5,0,10
Wyoming,1979,4,4,0,8
Wyoming,1980,1,2,0,3
Wyoming,1981,0,1,0,1
Wyoming,1982,0,0,0,0
Wyoming,1983,0,2,0,2
Wyoming,1984,1,2,0,3
Wyoming,1985,1,5,0,6
Wyoming,1986,2,2,0,4
Wyoming,1987,0,3,0,3
Wyoming,1988,1,4,1,6
Wyoming,1989,1,5,0,6
Wyoming,1990,1,4,0,5
Wyoming,1991,1,3,0,4
Wyoming,1992,2,1,0,3
Wyoming,1993,0,1,0,1
Wyoming,1994,1,2,0,3
Wyoming,1995,2,2,0,4
Wyoming,1996,1,1,0,2
Wyoming,1997,0,4,1,5
Wyoming,1998,0,1,5,6
Wyoming,1999,1,1,5,7
Wyoming,2000,1,0,5,6
Wyoming,2001,0,1,6,7
Wyoming,2002,0,1,4,5
Wyoming,2003,1,1,6,8
Wyoming,2004,3,0,2,5
Wyoming,2005,2,0,1,3
Wyoming,2006,1,0,0,1
Wyoming,2007,1,0,0,1
Wyoming,2008,1,0,0,1
Wyoming,2009,2,0,0,2
Wyoming,2010,2,0,0,2
Wyoming,2011,1,1,0,2
Wyoming,2012,1,1,0,2
Wyoming,2013,0,1,2,3
Wyoming,2014,1,0,1,2
Wyoming,2015,1,0,2,3
Wyoming,2016,1,0,3,4
Wyoming,2017,3,0,5,8
