Subject,Course,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ENGL,402,Descriptive English Grammar,2,16,6,3,4,3,0,0,0,0,0,0,0,1,3.65,"Baron, Dennis E"
ENGL,429,18th Century Fiction,1,17,8,3,0,0,0,0,0,0,0,0,0,0,3.84,"Pollock, Anthony"
ENSU,410,Sustainable Organizations,10,7,2,0,1,0,0,0,0,0,0,0,1,0,3.73,"Pettijohn, Justin C"
EOL,543,Leading School Improvement,0,11,8,1,1,0,0,0,0,0,1,0,1,0,3.51,"Roegman, Rachel"
EOL,547,Education Law,0,11,2,7,3,1,0,1,0,0,0,0,0,0,3.53,"Alexander, Samuel K"
EOL,548,Poli & Cultural Context of Ed,0,22,2,0,0,2,0,0,0,0,0,0,0,0,3.87,"Welton, Anjale D"
EPOL,550,Methods of Educational Inquiry,1,24,3,1,0,0,0,0,0,0,0,0,0,0,3.94,"Thorstensson Da, Liv S"
EPS,310,Race and Cultural Diversity,8,2,7,2,2,0,0,1,0,1,1,0,1,1,3.31,"Anderson, James D"
EPS,402,Asian American Education,15,22,4,4,1,0,0,0,0,0,0,0,2,1,3.73,"Pak, Yoon K"
EPS,410,Professional Ethics in Ed,0,14,8,1,2,0,0,0,0,0,0,0,0,0,3.79,"Burbules, Nicholas C"
EPS,421,Racial and Ethnic Families,2,8,4,2,0,4,0,1,0,0,0,0,0,1,3.57,"Barnett, Bernice M"
EPS,530,Education and Globalization,0,11,13,1,0,0,0,0,0,0,0,0,0,1,3.8,"McCarthy, Cameron R"
EPS,533,Global Youth & Citizenship,11,37,1,1,0,1,1,0,0,0,0,1,0,0,3.86,"Herrera, Linda"
EPS,536,"Race, Gender & Sexuality Issu",0,54,4,0,0,0,0,1,0,0,0,0,0,0,3.94,"Pak, Yoon K"
EPSY,201,Educational Psychology,23,176,17,6,11,4,1,1,1,0,0,1,0,0,3.85,"Zola, David"
EPSY,202,Exploring Cultural Diversity,15,28,10,10,8,1,0,2,1,0,0,0,1,1,3.61,"Landrum-Brown, Joycelyn"
EPSY,220,Career Theory and Practice,2,3,3,1,4,1,3,1,1,0,0,1,1,0,2.87,"Rodriguez, Saturnino H"
EPSY,220,Career Theory and Practice,0,22,1,1,0,0,0,0,0,0,0,0,2,0,3.65,"King, Matthew T"
EPSY,220,Career Theory and Practice,0,25,2,0,1,0,0,0,0,0,0,0,0,0,3.94,"King, Matthew T"
EPSY,401,Child Language and Education,6,6,5,2,1,0,0,1,0,0,1,0,0,1,3.6,"Christianson, Kiel"
EPSY,420,Theories of Psychotherapy,0,19,4,4,1,4,1,5,0,1,0,0,1,0,3.28,"Kinderman, Lisa"
EPSY,456,Human Perform & Cogn in Contxt,1,20,0,0,17,0,0,6,0,0,1,0,0,0,3.31,"Morrow, Daniel G"
EPSY,480,Educational Statistics,25,6,0,4,0,1,0,0,0,0,1,0,2,1,3.62,"Huang, Liwen"
EPSY,485,Assessing Student Performance,15,9,5,1,3,0,1,3,0,0,0,0,1,1,3.57,"Mann, Jay A"
EPSY,580,Statistical Inference in Educ,6,6,16,6,4,1,0,0,1,0,0,0,0,1,3.58,"Cromley, Jennifer G"
EPSY,587,Hierarchical Linear Models,0,21,3,3,4,0,0,0,0,0,0,0,0,0,3.77,"Anderson, Carolyn J"
ESE,200,Earth Systems,3,18,26,17,8,4,3,2,2,1,0,0,3,2,3.29,"Tomkin, Jonathan H"
ESE,360,Environmental Writing,2,5,3,4,7,1,0,0,0,1,0,0,0,0,3.36,"Kanter, Robert E"
ESE,445,Earth Resources Sustainability,11,12,3,1,2,2,0,1,0,0,1,0,1,0,3.55,"Cole, Todd M"
EURO,199,Challenges Facing Euro Union,8,10,4,1,0,0,0,0,0,0,0,0,4,0,3.33,"Vander Most, Neil G"
FAA,101,Arts at Illinois,78,205,1,3,39,5,2,13,2,0,15,0,4,0,3.61,"Edwards, Mary M"
FAA,220,Introduction to Fashion,24,19,2,1,0,0,0,0,0,0,0,0,0,0,3.97,"Becker, Susan E"
FIN,221,Corporate Finance,0,12,4,1,11,0,1,2,0,0,1,0,0,0,3.32,"Yu, Yingjie"
FIN,221,Corporate Finance,0,8,1,1,5,1,1,3,0,1,1,0,0,0,3.06,"Zi, Chao"
FIN,221,Corporate Finance,1,10,0,2,6,1,0,3,1,0,2,0,0,0,3.12,"Sridhar, Shriyak"
FIN,221,Corporate Finance,0,11,2,2,10,0,1,7,1,1,3,0,1,0,2.83,"Yu, Yingjie"
FIN,221,Corporate Finance,0,12,2,4,13,3,0,1,1,1,1,0,1,1,3.12,"Sridhar, Shriyak"
FIN,221,Corporate Finance,0,12,2,2,10,2,1,4,2,0,4,0,1,0,2.88,"Lagaras, Spyridon"
FIN,221,Corporate Finance,1,13,2,1,15,2,2,2,0,1,1,0,1,0,3.12,"Yu, Yingjie"
FIN,221,Corporate Finance,0,12,3,3,14,3,1,3,0,0,2,0,0,0,3.15,"Lagaras, Spyridon"
FIN,221,Corporate Finance,6,16,2,2,7,2,2,1,0,0,1,0,3,0,3.24,"Yu, Yingjie"
FIN,221,Corporate Finance,4,14,6,5,10,1,0,5,0,0,0,0,0,0,3.41,"Sridhar, Shriyak"
FIN,221,Corporate Finance,1,16,5,3,10,2,1,3,0,0,2,0,0,0,3.3,"Sridhar, Shriyak"
FIN,221,Corporate Finance,0,8,5,2,12,1,2,4,0,0,1,0,1,1,3.04,"Zi, Chao"
FIN,221,Corporate Finance,1,13,6,4,6,3,2,2,0,0,3,0,1,0,3.15,"Zi, Chao"
FIN,221,Corporate Finance,2,11,2,1,8,5,1,3,3,1,0,0,1,0,3.02,"Zi, Chao"
FIN,221,Corporate Finance,7,53,18,18,29,4,5,17,0,3,3,0,1,0,3.27,"Dyer, Michael A"
FIN,230,Introduction to Insurance,8,51,0,12,33,1,5,9,0,0,7,0,3,1,3.21,"Davis, Donald W"
FIN,241,Fundamentals of Real Estate,1,22,2,2,4,0,1,3,1,0,1,0,0,0,3.49,"Davis, Jeffrey M"
FIN,241,Fundamentals of Real Estate,0,15,8,4,7,3,1,1,0,0,0,0,0,0,3.49,"Perkins, Scott E"
FIN,300,Financial Markets,0,0,1,4,4,7,7,9,3,5,0,0,2,2,2.23,"Smith, Mark K"
FIN,300,Financial Markets,0,4,2,4,7,1,7,2,0,2,0,0,0,1,2.87,
FIN,300,Financial Markets,0,2,3,4,5,5,2,6,5,4,1,0,2,0,2.36,"Smith, Mark K"
FIN,300,Financial Markets,1,5,4,8,10,4,0,1,1,0,0,0,0,0,3.23,
FIN,300,Financial Markets,0,2,2,2,4,1,3,3,2,3,0,0,5,0,2.11,"Waspi, Kevin G"
FIN,300,Financial Markets,1,4,5,3,10,5,2,4,4,2,0,0,0,0,2.84,"Spencer, Xiangyi X"
FIN,300,Financial Markets,0,1,2,3,3,5,4,9,5,0,3,0,3,0,2.17,"McGrath, Karen M"
FIN,321,Advanced Corporate Finance,3,9,4,4,2,0,6,2,0,0,0,0,0,0,3.33,"Spencer, Xiangyi X"
FIN,321,Advanced Corporate Finance,3,11,3,8,9,3,0,3,3,0,1,0,1,0,3.13,"Huang, Jiekun"
FIN,321,Advanced Corporate Finance,3,16,6,3,6,2,0,1,2,3,0,0,0,0,3.35,"Huang, Jiekun"
FIN,321,Advanced Corporate Finance,3,15,3,5,5,4,3,1,2,1,0,0,0,0,3.31,"Huang, Jiekun"
FIN,321,Advanced Corporate Finance,0,10,13,3,9,5,2,0,0,0,0,0,0,0,3.4,"Peters, Stephen R"
FIN,321,Advanced Corporate Finance,0,13,4,2,13,6,6,0,0,0,0,0,0,0,3.24,"Peters, Stephen R"
FIN,412,Options and Futures Markets,5,6,10,3,6,3,1,2,1,0,0,0,0,0,3.37,"Peterson, Paul E"
FIN,423,Financing Emerging Businesses,0,46,3,6,2,0,0,0,0,0,0,0,0,0,3.88,"Beard, Dennis E"
FIN,423,Financing Emerging Businesses,0,27,14,7,5,2,0,0,0,0,0,0,0,0,3.69,"Krueger, George J"
FIN,424,Mergers and Acquisition,0,6,6,3,4,3,1,1,0,0,0,0,0,0,3.35,"Peters, Stephen R"
FIN,435,Personal Wealth Management,0,31,16,14,4,0,0,0,0,0,0,0,0,0,3.71,"Raskie, Sterling"
FIN,435,Personal Wealth Management,1,29,13,9,4,0,0,1,0,0,0,0,0,0,3.71,"Raskie, Sterling"
FIN,445,Real Estate Investment,4,20,6,3,3,0,0,0,0,0,0,0,0,0,3.81,"Chinco, Alexander M"
FIN,445,Real Estate Investment,5,15,4,1,1,0,0,0,0,0,0,0,0,0,3.89,"Chinco, Alexander M"
FIN,463,Investment Banking,0,23,6,5,4,2,1,1,0,0,0,0,0,0,3.63,"Metzger, Robert L"
FIN,500,Introduction to Finance,3,20,14,12,7,6,2,1,0,0,0,0,1,0,3.44,"Clark-Joseph, Adam D"
FIN,501,Financial Economics,0,20,20,14,7,0,0,0,0,0,0,0,0,0,3.62,"Deryugina, Tatyana"
FIN,501,Financial Economics,0,10,17,15,15,1,0,0,0,0,0,0,0,0,3.45,"Deryugina, Tatyana"
FIN,501,Financial Economics,1,23,19,11,13,1,0,0,0,0,0,0,0,0,3.59,"Deryugina, Tatyana"
FIN,511,Investments,18,167,67,20,61,23,3,0,0,0,0,0,3,2,3.6,"Weisbenner, Scott J"
FIN,511,Investments,2,28,9,2,4,1,0,0,0,0,0,0,3,2,3.56,"Weisbenner, Scott J"
FIN,511,Investments,0,9,14,13,5,1,0,0,0,0,0,0,0,0,3.53,"Pollet, Joshua M"
FIN,511,Investments,1,12,1,7,2,1,0,0,0,0,0,0,0,0,3.65,"Choi, Jaewon"
FIN,511,Investments,0,9,8,8,8,0,0,0,0,0,0,0,0,0,3.52,"Pollet, Joshua M"
FIN,512,Financial Derivatives,3,24,10,10,9,3,0,0,0,0,0,0,0,0,3.61,"Widdicks, Martin"
FIN,512,Financial Derivatives,0,10,7,4,5,1,0,1,0,0,0,0,0,0,3.52,"Peterson, Paul E"
FIN,514,Financial Engineering II,2,11,4,4,4,1,0,0,0,0,0,0,0,0,3.64,"Widdicks, Martin"
FIN,516,Term Structure Models,1,7,11,14,1,1,0,0,0,0,0,0,0,0,3.56,"Widdicks, Martin"
FIN,520,Financial Management,1,14,3,5,7,0,0,4,0,0,0,0,0,0,3.43,"Almeida, Heitor"
FIN,521,Advanced Corporate Finance,3,17,3,7,8,5,0,0,0,0,0,0,0,0,3.53,"Weisbenner, Scott J"
FIN,522,Cases in Financial Strategy,0,9,10,7,3,0,0,0,0,0,0,0,0,0,3.62,"Xuan, Yuhai"
FIN,527,Mergers & Acquisitions Topics,5,18,0,3,4,0,0,1,0,0,0,0,0,0,3.74,"Almeida, Heitor"
FIN,530,Foundations in Risk Management,8,8,0,3,6,0,0,0,0,0,0,0,0,0,3.68,"Davis, Donald W"
FIN,541,Real Estate Fundamentals,4,13,5,5,5,5,0,0,0,0,0,0,0,0,3.55,"McGrath, Karen M"
FIN,545,Real Estate Investment,14,17,18,5,4,0,0,0,0,0,0,0,0,0,3.77,"Chinco, Alexander M"
FIN,566,Algorithmic Mkt Microstructure,1,13,5,6,3,2,0,1,0,0,0,0,0,0,3.57,"Clark-Joseph, Adam D"
FIN,568,Behavioral Finance,0,9,7,3,2,0,0,0,0,0,0,0,0,0,3.7,"Weisbenner, Scott J"
FIN,578,Govt Market Economy,0,8,6,4,3,0,0,0,0,0,0,0,0,0,3.64,"Fullerton, Don"
FIN,580,Big Data Analysis,0,8,9,5,3,0,0,0,0,0,0,0,0,0,3.63,"Molitor, David"
FIN,580,Corporate Finance,5,22,8,14,9,1,0,0,0,0,0,0,0,0,3.62,"Smith, Mark K"
FIN,580,Cases Wealth Managment,8,13,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Raskie, Sterling"
FIN,580,Practical Asset Allocation,1,6,1,6,5,3,0,0,0,0,0,0,0,0,3.39,"Gambera, Michele"
FIN,580,Financial Statements,7,18,2,5,1,0,0,1,0,0,0,0,0,0,3.79,"Zhang, Li"
FIN,580,Corporate Finance I & II,9,252,0,51,35,0,0,16,0,0,1,0,0,2,3.71,"Almeida, Heitor"
FIN,580,Corporate Finance I & II,0,13,0,4,2,0,0,1,0,0,0,0,2,0,3.33,"Almeida, Heitor"
FIN,580,Option Trading & Market-Making,0,4,3,3,4,3,4,0,1,0,0,0,0,0,3.09,"Natenberg, Sheldon"
FIN,580,Practicum,0,46,3,1,0,0,0,0,0,0,0,0,0,1,3.97,"Noonan, James R"
FIN,580,Practicum,0,25,1,2,0,0,0,0,0,0,0,0,0,0,3.94,"Noonan, James R"
FIN,580,Quantitative Methods,34,21,6,0,3,0,0,0,0,0,0,0,0,0,3.92,"Yang, Xi"
FIN,580,Quantitative Methods II,35,18,4,0,6,0,0,2,0,0,0,0,0,0,3.83,"Yang, Xi"
FIN,580,Wealth Management,2,11,17,4,6,3,2,1,3,0,0,0,0,0,3.38,"Raskie, Sterling"
FR,104,Intermediate French II,1,6,5,1,4,1,0,2,0,0,1,0,1,0,3.15,"Burkel, Alexander B"
FR,156,Exploring Paris,0,58,14,11,9,5,3,4,0,0,1,0,1,0,3.55,"Reynolds, Felisa V"
FR,387,French & Comparative Cinema I,2,16,4,3,1,0,0,1,0,0,1,0,0,0,3.67,"Blake, Nancy"
FSHN,101,Intro Food Science & Nutrition,3,118,0,36,34,26,12,15,7,4,9,0,14,1,3.09,"Bohn, Dawn M"
FSHN,101,Intro Food Science & Nutrition,4,29,12,5,14,9,3,3,1,3,4,2,2,0,3.11,"Schmidt, Shelly J"
FSHN,120,Contemporary Nutrition,0,305,0,0,147,0,0,43,0,0,7,0,8,0,3.44,"Burkhalter, Toni M"
FSHN,140,Introduction to Hospitality,12,5,4,3,2,1,1,3,0,0,0,0,0,0,3.54,"Craft, Jill N"
FSHN,150,Introduction to Dietetics,0,32,0,0,3,0,0,1,0,0,1,0,0,0,3.78,"Karduck, Justine M"
FSHN,220,Principles of Nutrition,0,32,0,0,12,0,0,1,0,0,0,0,0,0,3.69,"Andrade, Juan"
FSHN,232,Science of Food Preparation,14,15,6,2,1,0,0,1,0,0,0,1,0,0,3.76,"Craft, Jill N"
FSHN,302,Sensory Evaluation of Foods,16,25,3,1,0,0,1,0,0,0,0,0,0,0,3.93,"Lee, Soo-Yeun"
FSHN,343,Foundations in Beverage Mgmt,29,3,1,1,0,0,0,0,0,0,0,0,1,0,3.86,"Brotherton, Jorden M"
FSHN,345,Strategic Operations Mgmt,0,36,1,0,1,0,0,0,0,0,0,0,0,0,3.97,"Madson, Jessica A"
FSHN,349,Food Service Sanitation,1,8,10,1,1,0,0,0,0,0,0,0,0,0,3.76,"Craft, Jill N"
FSHN,414,Food Chemistry,4,44,0,5,2,2,0,0,0,0,0,0,0,1,3.86,"Engeseth, Nicki J"
FSHN,416,Food Chemistry Laboratory,2,7,14,7,5,2,0,0,0,0,1,0,0,0,3.47,"Demejia, Elvira"
FSHN,420,Nutritional Aspects of Disease,12,37,0,6,9,0,1,2,0,0,1,0,0,0,3.68,"Holscher, Hannah D"
FSHN,426,Biochemical Nutrition I,0,36,15,5,8,1,0,0,0,0,0,0,0,0,3.73,"Pan, Yuan-Xiang"
FSHN,428,Community Nutrition,5,6,11,4,2,2,0,3,0,0,0,0,0,0,3.49,"Chapman-Novakof, Karen M"
FSHN,429,Nutrition Assessment & Therapy,7,11,5,3,1,0,2,0,0,0,0,0,0,0,3.72,"Parker, Anna A"
FSHN,450,Dietetics: Professional Issues,9,10,3,0,0,1,0,0,0,0,0,0,0,0,3.9,"Karduck, Justine M"
FSHN,460,Food Processing Engineering,1,17,1,2,0,0,0,0,0,0,0,0,0,0,3.92,"Morris, Scott A"
FSHN,460,Food Processing Engineering,0,22,0,1,1,0,1,0,0,0,0,0,0,0,3.87,"Morris, Scott A"
FSHN,461,Food Processing I,4,28,5,8,9,2,3,1,0,0,0,0,0,0,3.57,"Feng, Hao"
FSHN,465,Principles of Food Technology,1,15,4,8,1,0,1,0,0,0,0,0,0,0,3.69,"Lee, Youngsoo"
FSHN,466,Food Product Development,0,33,0,18,4,0,0,0,0,0,0,0,0,0,3.71,"Bohn, Dawn M"
FSHN,469,Package Engineering,1,34,0,2,1,0,0,0,0,0,0,0,0,0,3.94,"Morris, Scott A"
FSHN,480,Basic Toxicology,0,9,0,0,10,0,0,2,0,0,0,0,1,0,3.18,"Biehl, Michael L"
GCL,124,Sustainable Earth,5,3,11,1,3,1,0,0,1,0,0,0,0,0,3.56,"Tomkin, Jonathan H"
GCL,143,Mapping Inequalities,12,9,1,0,0,0,0,1,0,0,0,0,1,0,3.74,"Pintar, Judith A"
GCL,148,Cultures of Disability,0,18,0,1,1,1,0,2,0,0,0,0,0,0,3.7,"Bentz, Johnell L"
GCL,185,"Health, Wellness, & Black Exp",0,17,2,2,1,0,0,1,0,0,0,0,0,0,3.78,"Smith, Sharde"
GCL,186,Death & Dying,0,13,0,1,7,1,0,1,0,0,0,0,1,0,3.38,"Manselle, Tonya L"
GEOG,101,Global Development&Environment,47,40,28,10,5,10,3,3,5,0,2,2,1,1,3.53,"Heil, Melissa"
GEOG,103,Earth's Physical Systems,25,21,7,7,11,0,1,1,4,0,0,3,3,0,3.36,"Cienciala, Piotr"
GEOG,106,Geographies of Globalization,2,25,28,22,16,7,9,6,2,1,4,1,6,0,3.05,"Stock, Ryan J"
GEOG,204,Cities of the World,0,9,17,19,20,12,12,11,3,0,3,0,1,0,2.91,"Cidell, Julie L"
GEOG,205,Business Location Decisions,1,7,3,2,6,5,2,3,0,0,0,0,0,0,3.16,"McLafferty, Sara L"
GEOG,210,Social & Environmental Issues,10,10,19,29,8,5,3,2,0,0,0,0,0,0,3.43,"Ribot, Jesse C"
GEOG,379,Intro to GIS Systems,7,22,14,12,5,4,2,5,2,1,0,1,4,1,3.2,"Kashem, Md Shakil B"
GEOG,412,Geospatial Tech & Society,1,16,5,1,2,1,0,0,0,0,0,0,2,0,3.51,"Cidell, Julie L"
GEOG,473,Digital Cartography & Map Dsgn,3,16,3,0,1,0,0,0,0,0,1,0,2,0,3.5,"Kashem, Md Shakil B"
GEOG,479,CyberGIS,1,11,4,1,3,4,0,0,0,0,0,0,1,1,3.43,"Padmanabhan, Anand"
GEOL,100,Planet Earth,2,7,5,4,3,0,1,0,0,1,0,0,1,0,3.35,"Zhao, Fangruo"
GEOL,100,Planet Earth,4,1,3,3,2,5,2,2,0,0,0,0,2,0,2.88,"Albright, John A"
GEOL,100,Planet Earth,8,3,3,3,1,2,2,1,0,2,1,1,1,1,3.01,"Long, Ann D"
GEOL,117,The Oceans,51,36,20,13,11,2,1,2,0,0,1,0,4,0,3.62,"Pettijohn, Justin C"
GEOL,118,Natural Disasters,65,34,33,39,31,19,12,11,13,4,5,2,9,0,3.16,"Altaner, Stephen P"
GEOL,411,Structural Geol and Tectonics,0,8,11,12,3,3,0,0,0,0,0,0,2,0,3.32,"Guenthner, William"
GEOL,432,Mineralogy and Mineral Optics,0,2,2,2,5,3,5,3,1,0,0,0,0,0,2.8,"Stewart, Michael A"
GER,101,Beginning German I,0,3,5,3,5,3,0,0,0,0,0,0,2,0,3.02,"Brommer, Janina"
GER,101,Beginning German I,1,4,3,6,4,0,0,2,2,0,1,1,0,0,3,"Rose, Rachel M"
GER,103,Intermediate German I,4,10,5,1,6,0,0,0,0,0,0,0,0,0,3.68,"Sellinger, David J"
GER,250,Grimms' Fairy Tales - ACP,3,14,3,1,1,2,0,0,0,0,0,0,0,0,3.78,"Malekin, Bjorn"
GER,270,Sexuality and Literature,3,7,3,3,1,1,3,1,0,0,0,0,0,1,3.44,"Niekerk, Carl H"
GLBL,100,Intro to Global Studies,4,17,5,1,0,0,0,0,0,0,0,1,0,0,3.8,"Bonatti, Valeria"
GLBL,100,Intro to Global Studies,4,13,4,2,0,2,0,0,1,0,0,0,1,0,3.57,"Fogelman, Charles J"
GLBL,100,Intro to Global Studies,5,13,0,1,1,0,0,1,1,0,1,0,1,0,3.46,"Goodnight, Melissa R"
GLBL,100,Intro to Glbl Stds Crossroads,1,8,7,4,4,0,1,0,0,0,0,0,2,0,3.31,"Peach, Matthew"
GLBL,100,Intro to Global Studies,10,13,1,1,0,0,1,0,0,1,0,1,0,0,3.69,"Kurisu, Sheri-Lynn S"
GLBL,220,Governance,4,6,3,2,3,1,0,4,1,1,0,0,3,0,2.87,"Wedig, Timothy E"
GLBL,240,Global Health,29,9,2,4,2,0,0,0,0,0,0,0,0,0,3.88,"Farner, Susan M"
GLBL,296,Criminalization of the Poor,1,17,7,1,0,0,0,0,0,0,0,0,0,0,3.89,"Kilgore, James W"
GLBL,350,Poverty in a Global Context,0,8,7,4,4,3,1,0,1,0,0,0,0,1,3.39,"Fogelman, Charles J"
GRKM,201,Elementary Modern Greek I,18,9,4,1,0,0,0,0,0,0,0,0,3,0,3.6,"Tzirides, Anastasia Olga"
GS,101,Exploring General Studies,0,32,2,2,0,2,2,2,0,0,1,0,0,0,3.65,"Allen, Carrie R"
GS,101,Exploring General Studies,0,41,3,0,0,0,1,0,0,0,0,0,0,0,3.94,"Harden, Brianna L"
GS,101,Exploring General Studies,0,28,6,2,2,1,1,1,1,0,0,0,2,1,3.53,"Talbott, Katelyn R"
GS,101,Exploring General Studies,0,33,3,0,1,3,2,2,0,0,0,0,0,0,3.7,"Readel, Karin E"
GS,101,Exploring General Studies,0,30,4,0,2,2,0,1,0,0,0,1,3,0,3.46,"Brooks, Janelle"
GS,101,Exploring General Studies,0,28,6,2,1,2,1,0,2,1,0,0,2,0,3.47,"Patterson, Katelyn"
GS,101,Exploring General Studies,0,27,3,6,0,0,3,3,0,0,0,0,2,0,3.45,"Jamal, Malcolm A"
GS,101,Exploring General Studies,0,26,3,4,3,2,0,1,0,1,2,1,1,0,3.38,"Myers, Michael D"
GS,101,Exploring General Studies,0,24,3,3,6,2,1,1,0,0,0,1,4,0,3.23,"Minnett, Jarijion"
GS,101,Exploring General Studies,0,31,5,1,2,4,1,0,0,0,0,0,1,0,3.66,"Talbott, Katelyn R"
GS,101,Exploring General Studies,0,32,5,0,2,0,2,0,1,0,1,0,1,0,3.63,"Thrill, Chauntee R"
GS,101,Exploring General Studies,0,38,2,0,0,0,0,0,1,0,1,1,1,0,3.7,"Fletcher, Heather R"
GS,101,Exploring General Studies,0,36,3,1,0,3,0,0,0,0,0,0,0,0,3.87,"Chlebanowski, Rachel L"
GS,101,Exploring General Studies,0,32,1,2,2,0,2,3,0,0,0,0,3,0,3.44,"Patterson, Katelyn"
GS,101,Exploring General Studies,25,2,1,4,0,3,2,4,2,1,1,0,1,0,3.29,"Lewis, Leslie C"
GS,101,Exploring General Studies,24,9,3,1,1,2,1,1,0,0,0,1,2,0,3.55,"O'Brien, Nicole P"
GS,101,Exploring General Studies,0,18,2,0,0,0,0,1,0,0,0,0,0,0,3.87,"Bailey, Jason M"
GS,101,Exploring General Studies,0,33,5,4,1,0,0,0,0,1,0,0,0,0,3.82,"Davidson, Emily N"
GS,101,Exploring General Studies,0,35,1,1,0,1,0,2,1,1,1,0,1,1,3.58,"Fletcher, Heather R"
GS,101,Exploring General Studies,0,33,6,1,1,0,1,0,1,0,0,1,2,0,3.59,"Winterbotham, Lauren E"
GS,101,Exploring General Studies,0,31,4,4,0,1,1,0,1,2,0,0,2,0,3.51,"Jamal, Malcolm A"
GS,101,Exploring General Studies,0,38,2,2,0,1,0,0,0,0,1,0,1,0,3.77,"Brooks, Janelle"
GS,101,Exploring General Studies,0,38,1,0,2,3,0,0,0,0,0,0,1,0,3.77,"Bjorkman, Veronica"
GS,101,Exploring General Studies,0,32,6,0,1,2,0,2,0,0,0,1,1,0,3.62,"Davidson, Emily N"
GS,101,Exploring General Studies,7,6,3,4,2,2,1,2,0,2,0,0,2,0,3.12,"O'Brien, Nicole P"
GS,101,Exploring General Studies,0,12,2,1,0,3,1,1,2,1,0,0,6,0,2.61,"Robertson, Prince"
GS,101,Exploring General Studies,0,23,0,0,1,1,0,0,3,0,0,0,0,1,3.67,"Moore, Eugene L"
GS,101,Exploring General Studies,0,12,2,2,2,1,1,1,0,0,0,0,8,0,2.59,"Robertson, Prince"
GS,101,Exploring General Studies,9,20,5,0,3,0,0,1,0,0,0,0,4,0,3.46,"Powers, Kimberly"
GS,101,Exploring General Studies,1,38,2,0,1,0,0,0,1,0,0,0,1,0,3.82,"Holterman, Christopher J"
GS,101,Exploring General Studies,0,40,0,0,2,1,0,0,0,0,0,0,1,0,3.83,"Leman, Clarissa R"
GS,101,Exploring General Studies,23,6,0,0,0,0,0,1,0,0,0,0,0,0,3.93,"Gardiner, Sarah A"
GS,101,Exploring General Studies,16,11,0,1,1,0,0,0,0,0,1,0,0,0,3.84,"Gardiner, Sarah A"
GS,101,Exploring General Studies,16,10,0,1,0,1,0,0,0,0,0,0,0,0,3.93,"Gardiner, Sarah A"
GS,101,Exploring General Studies,0,10,5,6,9,5,2,3,1,0,0,1,3,0,2.93,"Myers, Michael D"
GS,101,Exploring General Studies,20,1,2,1,1,0,0,0,0,0,0,1,1,0,3.64,"Lewis, Leslie C"
GWS,100,Intro Gender & Women's Studies,1,3,3,6,5,2,2,1,0,0,0,1,1,0,2.99,"Cassinelli, Silas M"
GWS,100,Intro Gender & Women's Studies,1,1,2,4,5,1,6,4,3,0,1,0,1,0,2.56,"Cassinelli, Silas M"
GWS,100,Intro Gender & Women's Studies,1,3,5,2,5,2,3,1,0,0,0,1,2,0,2.84,"Cassinelli, Silas M"
GWS,201,"Race, Gender & Power",8,20,0,1,0,1,0,0,0,0,0,0,0,0,3.93,"Brown, Ruth N"
GWS,250,Gender and Representation,0,9,8,5,3,0,0,0,1,0,0,0,0,0,3.56,"Kashani, Maryam"
GWS,335,"Film, TV, and Gender",0,4,9,7,3,1,0,3,0,0,0,0,0,0,3.33,"Kashani, Maryam"
GWS,385,Transnational Sexualities,1,11,8,4,2,0,0,0,0,0,0,0,1,0,3.58,"Asaka, Ikuko"
GWS,387,History of Sexuality in U.S.,1,5,7,6,3,0,0,0,0,0,0,0,2,0,3.28,"Eby, Beth"
HDFS,101,Issues & Careers in HDFS,37,11,1,0,1,1,3,0,0,1,1,0,1,0,3.7,"Anderson, Barbara R"
HDFS,101,Issues & Careers in HDFS,14,5,5,2,2,1,0,0,2,1,0,0,4,0,3.18,"Anderson, Barbara R"
HDFS,105,Intro to Human Development,0,204,0,0,41,0,0,13,0,0,3,0,1,1,3.69,"Brooks, Jan D"
HDFS,105,Intro to Human Development,63,25,9,6,6,3,1,2,1,0,1,0,0,0,3.76,"Theisen, Jaclyn C"
HDFS,120,Intro to Family Studies,0,5,10,6,10,4,6,2,0,0,0,0,0,0,3.15,"Whittaker, Angela M"
HDFS,120,Intro to Family Studies,0,12,16,9,5,4,7,3,0,0,0,0,0,0,3.3,"Kramer, Karen"
HDFS,208,Child Fam with Special Needs,1,48,0,0,1,0,0,2,0,0,0,0,3,0,3.69,"Brooks, Jan D"
HDFS,220,Families in Global Perspective,5,28,17,11,11,9,4,5,2,2,0,0,0,0,3.33,"Raffaelli, Marcela"
HDFS,225,Close Relationships,1,7,7,4,11,6,2,3,0,0,1,0,0,0,3.14,"Ogolsky, Brian G"
HDFS,290,Intro to Research Methods,3,6,5,5,3,1,3,1,1,1,0,0,0,0,3.26,"McElwain, Nancy L"
HDFS,301,Infancy & Early Childhood,0,12,15,6,0,2,3,1,2,1,0,1,0,0,3.32,"McBride, Brent A"
HDFS,340,"Gender, Relationshps & Society",9,21,6,7,8,2,2,1,2,0,0,0,0,0,3.53,"Oswald, Ramona F"
HDFS,401,Socialization and Development,0,23,0,0,8,0,0,1,0,0,0,0,0,0,3.69,"Freeman Bost, Kelly K"
